rules,lhs,rhs,support,confidence,coverage,lift,count
{POPPY'S PLAYHOUSE BEDROOM} => {POPPY'S PLAYHOUSE KITCHEN},POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.0142201834862385,0.802588996763754,0.0177178899082569,41.5345759749551,248
"{PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER} => {GREEN REGENCY TEACUP AND SAUCER}","PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.0217316513761468,0.895981087470449,0.0242545871559633,23.2182914791748,379
"{PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {GREEN REGENCY TEACUP AND SAUCER}","PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,0.0149082568807339,0.875420875420875,0.0170298165137615,22.6854978712334,260
{PINK REGENCY TEACUP AND SAUCER} => {GREEN REGENCY TEACUP AND SAUCER},PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0256307339449541,0.832402234636871,0.0307912844036697,21.5707206122839,447
"{PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {ROSES REGENCY TEACUP AND SAUCER}","PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.0146215596330275,0.858585858585859,0.0170298165137615,19.5991326881379,255
"{GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER} => {ROSES REGENCY TEACUP AND SAUCER}","GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.0217316513761468,0.847874720357942,0.0256307339449541,19.3546271244012,379
"{GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {ROSES REGENCY TEACUP AND SAUCER}","GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.0173165137614679,0.834254143646409,0.020756880733945,19.0437071533945,302
{PINK REGENCY TEACUP AND SAUCER} => {ROSES REGENCY TEACUP AND SAUCER},PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0242545871559633,0.787709497206704,0.0307912844036697,17.9812220304776,423
{GREEN REGENCY TEACUP AND SAUCER} => {ROSES REGENCY TEACUP AND SAUCER},GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0302178899082569,0.783060921248143,0.0385894495412844,17.8751079405335,527
"{ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK} => {ALARM CLOCK BAKELIKE RED}","ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK",ALARM CLOCK BAKELIKE RED,0.014506880733945,0.780864197530864,0.0185779816513761,16.407556150528,253
